Feature,Importance
Crop_Growth_Stage,0.23147979902543322
Soil_Moisture,0.1885501670648787
Wind_Speed_kmh,0.1018925352296591
Temperature_C,0.1013779808423706
Rainfall_mm,0.09831906420587862
Mulching_Used,0.07843952920458606
Field_Area_hectare,0.023096160510727656
Sunlight_Hours,0.023086706689797152
Soil_pH,0.022668437149108617
Previous_Irrigation_mm,0.022652632745320745
Humidity,0.02255459614203949
Electrical_Conductivity,0.02127481856125603
Organic_Carbon,0.02106811721499724
Crop_Type,0.008837338462532969
Region,0.007809845266900917
Soil_Type,0.007478326019877897
Water_Source,0.0070324313763876455
Irrigation_Type,0.006817077634980647
Season,0.005564436653266805
